variables,type,units,values,description
floatingse.mu_air,input,kg/m/s,[1.81e-05],
floatingse.transition_piece_cost,input,USD,[100000.],
floatingse.member0.s_in,input,,[0.    0.1   0.987 1.   ],
floatingse.member0.s_const1,input,,[0.],
floatingse.member0.s_const2,input,,[0.],
floatingse.E_mat,input,Pa,"[[3.440e+09 3.440e+09 3.440e+09]
 [2.000e+11 2.000e+11 2.000e+11]
 [2.050e+11 2.050e+11 2.050e+11]
 [1.180e+11 1.180e+11 1.180e+11]
 [4.460e+10 1.700e+10 1.670e+10]
 [1.145e+11 8.390e+09 8.390e+09]
 [1.110e+10 1.110e+10 1.670e+10]
 [2.870e+10 1.660e+10 1.670e+10]
 [1.292e+08 1.292e+08 1.292e+08]
 [1.000e+06 1.000e+06 1.000e+06]
 [4.560e+06 4.560e+06 4.560e+06]
 [1.000e+00 1.000e+00 1.000e+00]]",
floatingse.member0.E_user,input,Pa,[0.],
floatingse.G_mat,input,Pa,"[[1.32300000e+09 1.32300000e+09 1.32300000e+09]
 [7.93000000e+10 7.93000000e+10 7.93000000e+10]
 [8.00000000e+10 8.00000000e+10 8.00000000e+10]
 [4.76000000e+10 4.76000000e+10 4.76000000e+10]
 [3.27000000e+09 3.48000000e+09 3.50000000e+09]
 [5.99000000e+09 5.99000000e+09 5.99000000e+09]
 [1.35300000e+10 3.49000000e+09 3.49000000e+09]
 [8.40000000e+09 3.49000000e+09 3.49000000e+09]
 [4.89469697e+07 4.89469697e+07 4.89469697e+07]
 [3.12500000e+05 3.12500000e+05 3.12500000e+05]
 [1.52000000e+06 1.52000000e+06 1.52000000e+06]
 [1.00000000e+00 1.00000000e+00 1.00000000e+00]]",
floatingse.sigma_y_mat,input,Pa,"[0.00e+00 3.45e+08 4.85e+08 2.65e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
 0.00e+00 0.00e+00 0.00e+00 0.00e+00]",
floatingse.sigma_ult_mat,input,Pa,"[[7.400e+01 7.400e+01 7.400e+01]
 [4.500e+08 4.500e+08 4.500e+08]
 [8.140e+08 8.140e+08 8.140e+08]
 [3.100e+08 3.100e+08 3.100e+08]
 [6.092e+08 3.810e+07 1.529e+07]
 [1.546e+09 0.000e+00 0.000e+00]
 [4.290e+07 4.260e+07 1.530e+07]
 [3.960e+08 7.640e+07 1.530e+07]
 [2.083e+06 2.083e+06 2.083e+06]
 [0.000e+00 0.000e+00 0.000e+00]
 [6.900e+05 6.900e+05 6.900e+05]
 [0.000e+00 0.000e+00 0.000e+00]]",
floatingse.wohler_exp_mat,input,,[ 1.   3.   3.   3.  10.  16.1 10.  10.   1.   1.   1.   1. ],
floatingse.wohler_A_mat,input,,"[8.70000000e+01 3.55346484e+10 3.55346484e+10 3.10000000e+08
 6.09200000e+08 1.54600000e+09 1.13200000e+08 4.48900000e+08
 2.08300000e+06 0.00000000e+00 6.90000000e+05 0.00000000e+00]",
floatingse.rho_mat,input,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 1100. 5000.],
floatingse.unit_cost_mat,input,USD/kg,[ 7.23  0.7   0.9   0.5   1.87 30.    3.    2.86 13.    3.63  9.    1.  ],
floatingse.member0.outfitting_factor_in,input,,[1.],
floatingse.member0.layer_materials,input,n/a,['steel'],
floatingse.member0.ballast_materials,input,n/a,[],
floatingse.material_names,input,n/a,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'adhesive', 'slurry']",
floatingse.labor_cost_rate,input,USD/min,[0.98],
floatingse.painting_cost_rate,input,USD/m**2,[30.],
floatingse.member0.grid_axial_joints,input,,[0.987 0.1  ],
floatingse.member0.bulkhead_grid,input,,[0. 1.],
floatingse.member0.bulkhead_thickness,input,m,[0.05 0.05],
floatingse.member0.ring_stiffener_web_height,input,m,[0.],
floatingse.member0.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member0.ring_stiffener_flange_width,input,m,[0.],
floatingse.member0.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member0.ring_stiffener_spacing,input,,[0.],
floatingse.member0.axial_stiffener_web_height,input,m,[0.],
floatingse.member0.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member0.axial_stiffener_flange_width,input,m,[0.],
floatingse.member0.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member0.axial_stiffener_spacing,input,rad,[0.],
floatingse.member0.ballast_grid,input,,[],
floatingse.member0.ballast_volume,input,m**3,[],
floatingse.member1.s_in,input,,[0.     0.05   0.1    0.1714 0.2    0.987  1.    ],
floatingse.member1.s_const1,input,,[0.],
floatingse.member1.s_const2,input,,[0.],
floatingse.member1.E_user,input,Pa,[0.],
floatingse.member1.outfitting_factor_in,input,,[1.],
floatingse.member1.layer_materials,input,n/a,['steel'],
floatingse.member1.ballast_materials,input,n/a,"['slurry', 'seawater']",
floatingse.member1.grid_axial_joints,input,,[0.987  0.1    0.1714],
floatingse.member1.bulkhead_grid,input,,[0.   0.05 0.2  1.  ],
floatingse.member1.bulkhead_thickness,input,m,[0.05 0.05 0.05 0.05],
floatingse.member1.ring_stiffener_web_height,input,m,[0.],
floatingse.member1.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member1.ring_stiffener_flange_width,input,m,[0.],
floatingse.member1.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member1.ring_stiffener_spacing,input,,[0.],
floatingse.member1.axial_stiffener_web_height,input,m,[0.],
floatingse.member1.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member1.axial_stiffener_flange_width,input,m,[0.],
floatingse.member1.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member1.axial_stiffener_spacing,input,rad,[0.],
floatingse.member1.ballast_grid,input,,"[[0.   0.05]
 [0.05 0.2 ]]",
floatingse.member1.ballast_volume,input,m**3,[169.333333   0.      ],
floatingse.member2.s_in,input,,[0.     0.05   0.1    0.1714 0.2    0.987  1.    ],
floatingse.member2.s_const1,input,,[0.],
floatingse.member2.s_const2,input,,[0.],
floatingse.member2.E_user,input,Pa,[0.],
floatingse.member2.outfitting_factor_in,input,,[1.],
floatingse.member2.layer_materials,input,n/a,['steel'],
floatingse.member2.ballast_materials,input,n/a,"['slurry', 'seawater']",
floatingse.member2.grid_axial_joints,input,,[0.987  0.1    0.1714],
floatingse.member2.bulkhead_grid,input,,[0.   0.05 0.2  1.  ],
floatingse.member2.bulkhead_thickness,input,m,[0.05 0.05 0.05 0.05],
floatingse.member2.ring_stiffener_web_height,input,m,[0.],
floatingse.member2.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member2.ring_stiffener_flange_width,input,m,[0.],
floatingse.member2.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member2.ring_stiffener_spacing,input,,[0.],
floatingse.member2.axial_stiffener_web_height,input,m,[0.],
floatingse.member2.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member2.axial_stiffener_flange_width,input,m,[0.],
floatingse.member2.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member2.axial_stiffener_spacing,input,rad,[0.],
floatingse.member2.ballast_grid,input,,"[[0.   0.05]
 [0.05 0.2 ]]",
floatingse.member2.ballast_volume,input,m**3,[169.333333   0.      ],
floatingse.member3.s_in,input,,[0.     0.05   0.1    0.1714 0.2    0.987  1.    ],
floatingse.member3.s_const1,input,,[0.],
floatingse.member3.s_const2,input,,[0.],
floatingse.member3.E_user,input,Pa,[0.],
floatingse.member3.outfitting_factor_in,input,,[1.],
floatingse.member3.layer_materials,input,n/a,['steel'],
floatingse.member3.ballast_materials,input,n/a,"['slurry', 'seawater']",
floatingse.member3.grid_axial_joints,input,,[0.987  0.1    0.1714],
floatingse.member3.bulkhead_grid,input,,[0.   0.05 0.2  1.  ],
floatingse.member3.bulkhead_thickness,input,m,[0.05 0.05 0.05 0.05],
floatingse.member3.ring_stiffener_web_height,input,m,[0.],
floatingse.member3.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member3.ring_stiffener_flange_width,input,m,[0.],
floatingse.member3.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member3.ring_stiffener_spacing,input,,[0.],
floatingse.member3.axial_stiffener_web_height,input,m,[0.],
floatingse.member3.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member3.axial_stiffener_flange_width,input,m,[0.],
floatingse.member3.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member3.axial_stiffener_spacing,input,rad,[0.],
floatingse.member3.ballast_grid,input,,"[[0.   0.05]
 [0.05 0.2 ]]",
floatingse.member3.ballast_volume,input,m**3,[169.333333   0.      ],
floatingse.member4.s_in,input,,[0. 1.],
floatingse.member4.s_const1,input,,[0.],
floatingse.member4.s_const2,input,,[0.],
floatingse.member4.E_user,input,Pa,[0.],
floatingse.member4.outfitting_factor_in,input,,[1.],
floatingse.member4.layer_materials,input,n/a,['steel'],
floatingse.member4.ballast_materials,input,n/a,[],
floatingse.member4.grid_axial_joints,input,,[],
floatingse.member4.bulkhead_grid,input,,[0. 1.],
floatingse.member4.bulkhead_thickness,input,m,[0.02 0.02],
floatingse.member4.ring_stiffener_web_height,input,m,[0.],
floatingse.member4.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member4.ring_stiffener_flange_width,input,m,[0.],
floatingse.member4.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member4.ring_stiffener_spacing,input,,[0.],
floatingse.member4.axial_stiffener_web_height,input,m,[0.],
floatingse.member4.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member4.axial_stiffener_flange_width,input,m,[0.],
floatingse.member4.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member4.axial_stiffener_spacing,input,rad,[0.],
floatingse.member4.ballast_grid,input,,[],
floatingse.member4.ballast_volume,input,m**3,[],
floatingse.member5.s_in,input,,[0. 1.],
floatingse.member5.s_const1,input,,[0.],
floatingse.member5.s_const2,input,,[0.],
floatingse.member5.E_user,input,Pa,[0.],
floatingse.member5.outfitting_factor_in,input,,[1.],
floatingse.member5.layer_materials,input,n/a,['steel'],
floatingse.member5.ballast_materials,input,n/a,[],
floatingse.member5.grid_axial_joints,input,,[],
floatingse.member5.bulkhead_grid,input,,[0. 1.],
floatingse.member5.bulkhead_thickness,input,m,[0.02 0.02],
floatingse.member5.ring_stiffener_web_height,input,m,[0.],
floatingse.member5.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member5.ring_stiffener_flange_width,input,m,[0.],
floatingse.member5.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member5.ring_stiffener_spacing,input,,[0.],
floatingse.member5.axial_stiffener_web_height,input,m,[0.],
floatingse.member5.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member5.axial_stiffener_flange_width,input,m,[0.],
floatingse.member5.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member5.axial_stiffener_spacing,input,rad,[0.],
floatingse.member5.ballast_grid,input,,[],
floatingse.member5.ballast_volume,input,m**3,[],
floatingse.member6.s_in,input,,[0. 1.],
floatingse.member6.s_const1,input,,[0.],
floatingse.member6.s_const2,input,,[0.],
floatingse.member6.E_user,input,Pa,[0.],
floatingse.member6.outfitting_factor_in,input,,[1.],
floatingse.member6.layer_materials,input,n/a,['steel'],
floatingse.member6.ballast_materials,input,n/a,[],
floatingse.member6.grid_axial_joints,input,,[],
floatingse.member6.bulkhead_grid,input,,[0. 1.],
floatingse.member6.bulkhead_thickness,input,m,[0.02 0.02],
floatingse.member6.ring_stiffener_web_height,input,m,[0.],
floatingse.member6.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member6.ring_stiffener_flange_width,input,m,[0.],
floatingse.member6.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member6.ring_stiffener_spacing,input,,[0.],
floatingse.member6.axial_stiffener_web_height,input,m,[0.],
floatingse.member6.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member6.axial_stiffener_flange_width,input,m,[0.],
floatingse.member6.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member6.axial_stiffener_spacing,input,rad,[0.],
floatingse.member6.ballast_grid,input,,[],
floatingse.member6.ballast_volume,input,m**3,[],
floatingse.member7.s_in,input,,[0. 1.],
floatingse.member7.s_const1,input,,[0.],
floatingse.member7.s_const2,input,,[0.],
floatingse.member7.E_user,input,Pa,[0.],
floatingse.member7.outfitting_factor_in,input,,[1.],
floatingse.member7.layer_materials,input,n/a,['steel'],
floatingse.member7.ballast_materials,input,n/a,['seawater'],
floatingse.member7.grid_axial_joints,input,,[],
floatingse.member7.bulkhead_grid,input,,[0. 1.],
floatingse.member7.bulkhead_thickness,input,m,[0.02 0.02],
floatingse.member7.ring_stiffener_web_height,input,m,[0.],
floatingse.member7.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member7.ring_stiffener_flange_width,input,m,[0.],
floatingse.member7.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member7.ring_stiffener_spacing,input,,[0.],
floatingse.member7.axial_stiffener_web_height,input,m,[0.],
floatingse.member7.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member7.axial_stiffener_flange_width,input,m,[0.],
floatingse.member7.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member7.axial_stiffener_spacing,input,rad,[0.],
floatingse.member7.ballast_grid,input,,[[0.07446822 1.07446822]],
floatingse.member7.ballast_volume,input,m**3,[0.],
floatingse.member8.s_in,input,,[0. 1.],
floatingse.member8.s_const1,input,,[0.],
floatingse.member8.s_const2,input,,[0.],
floatingse.member8.E_user,input,Pa,[0.],
floatingse.member8.outfitting_factor_in,input,,[1.],
floatingse.member8.layer_materials,input,n/a,['steel'],
floatingse.member8.ballast_materials,input,n/a,['seawater'],
floatingse.member8.grid_axial_joints,input,,[],
floatingse.member8.bulkhead_grid,input,,[0. 1.],
floatingse.member8.bulkhead_thickness,input,m,[0.02 0.02],
floatingse.member8.ring_stiffener_web_height,input,m,[0.],
floatingse.member8.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member8.ring_stiffener_flange_width,input,m,[0.],
floatingse.member8.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member8.ring_stiffener_spacing,input,,[0.],
floatingse.member8.axial_stiffener_web_height,input,m,[0.],
floatingse.member8.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member8.axial_stiffener_flange_width,input,m,[0.],
floatingse.member8.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member8.axial_stiffener_spacing,input,rad,[0.],
floatingse.member8.ballast_grid,input,,[[0.07446822 1.07446822]],
floatingse.member8.ballast_volume,input,m**3,[0.],
floatingse.member9.s_in,input,,[0. 1.],
floatingse.member9.s_const1,input,,[0.],
floatingse.member9.s_const2,input,,[0.],
floatingse.member9.E_user,input,Pa,[0.],
floatingse.member9.outfitting_factor_in,input,,[1.],
floatingse.member9.layer_materials,input,n/a,['steel'],
floatingse.member9.ballast_materials,input,n/a,['seawater'],
floatingse.member9.grid_axial_joints,input,,[],
floatingse.member9.bulkhead_grid,input,,[0. 1.],
floatingse.member9.bulkhead_thickness,input,m,[0.02 0.02],
floatingse.member9.ring_stiffener_web_height,input,m,[0.],
floatingse.member9.ring_stiffener_web_thickness,input,m,[0.],
floatingse.member9.ring_stiffener_flange_width,input,m,[0.],
floatingse.member9.ring_stiffener_flange_thickness,input,m,[0.],
floatingse.member9.ring_stiffener_spacing,input,,[0.],
floatingse.member9.axial_stiffener_web_height,input,m,[0.],
floatingse.member9.axial_stiffener_web_thickness,input,m,[0.],
floatingse.member9.axial_stiffener_flange_width,input,m,[0.],
floatingse.member9.axial_stiffener_flange_thickness,input,m,[0.],
floatingse.member9.axial_stiffener_spacing,input,rad,[0.],
floatingse.member9.ballast_grid,input,,[[0.07446822 1.07446822]],
floatingse.member9.ballast_volume,input,m**3,[0.],
floatingse.anchor_mass,input,kg,[0.],
floatingse.anchor_cost,input,USD,[0.],
floatingse.anchor_max_vertical_load,input,N,[1.e+30],
floatingse.anchor_max_lateral_load,input,N,[1.e+30],
floatingse.line_mass_density_coeff,input,kg/m**3,[0.],
floatingse.line_stiffness_coeff,input,N/m**2,[0.],
floatingse.line_breaking_load_coeff,input,N/m**2,[0.],
floatingse.line_cost_rate_coeff,input,USD/m**3,[0.],
floatingse.max_surge_fraction,input,,[0.1],
floatingse.operational_heel,input,rad,[0.17453293],
tcc.bearing_mass_cost_coeff,input,USD/kg,[4.5],
tcc.bedplate_mass_cost_coeff,input,USD/kg,[2.9],
tcc.blade_mass_cost_coeff,input,USD/kg,[14.6],
tcc.brake_mass_cost_coeff,input,USD/kg,[3.6254],
tcc.machine_rating,input,kW,[15000.],
tcc.controls_machine_rating_cost_coeff,input,USD/kW,[21.15],
tcc.converter_mass_cost_coeff,input,USD/kg,[18.8],
tcc.cover_mass_cost_coeff,input,USD/kg,[5.7],
tcc.elec_connec_machine_rating_cost_coeff,input,USD/kW,[41.85],
tcc.gearbox_torque_density,input,N*m/kg,[200.],"In 2024, modern 5-7MW gearboxes are able to reach 200 Nm/kg"
tcc.gearbox_torque_cost,input,USD/kN/m,[50.],"In 2024, modern 5-7MW gearboxes cost approx $50/kNm"
tcc.generator_mass_cost_coeff,input,USD/kg,[12.4],
tcc.hss_mass_cost_coeff,input,USD/kg,[6.8],
tcc.hub_assemblyCostMultiplier,input,,[0.],
tcc.hub_overheadCostMultiplier,input,,[0.],
tcc.hub_profitMultiplier,input,,[0.],
tcc.hub_transportMultiplier,input,,[0.],
tcc.hub_mass_cost_coeff,input,USD/kg,[3.9],
tcc.hvac_mass_cost_coeff,input,USD/kg,[124.],
tcc.lss_mass_cost_coeff,input,USD/kg,[11.9],
tcc.nacelle_assemblyCostMultiplier,input,,[0.],
tcc.nacelle_overheadCostMultiplier,input,,[0.],
tcc.nacelle_profitMultiplier,input,,[0.],
tcc.nacelle_transportMultiplier,input,,[0.],
tcc.main_bearing_number,input,n/a,2,
tcc.pitch_system_mass_cost_coeff,input,USD/kg,[22.1],
tcc.platforms_mass_cost_coeff,input,USD/kg,[17.1],
tcc.crane_cost,input,USD,[12000.],
tcc.crane,input,n/a,False,
tcc.blade_number,input,n/a,3,
tcc.spinner_mass_cost_coeff,input,USD/kg,[11.1],
tcc.tower_assemblyCostMultiplier,input,,[0.],
tcc.tower_overheadCostMultiplier,input,,[0.],
tcc.tower_profitMultiplier,input,,[0.],
tcc.tower_transportMultiplier,input,,[0.],
tcc.tower_mass_cost_coeff,input,USD/kg,[2.9],
tcc.transformer_mass_cost_coeff,input,USD/kg,[18.8],
tcc.turbine_assemblyCostMultiplier,input,,[0.],
tcc.turbine_overheadCostMultiplier,input,,[0.],
tcc.turbine_profitMultiplier,input,,[0.],
tcc.turbine_transportMultiplier,input,,[0.],
tcc.yaw_mass_cost_coeff,input,USD/kg,[8.3],
tcons.blade_number,input,n/a,3,
tcons.precone,input,deg,[4.],
tcons.tilt,input,deg,[6.],
tcons.overhang,input,m,[12.0313],
tcons.outer_diameter_full,input,m,[10.  10.  10.  10.  10.  10.  10.  10.  10.  10.   6.5],
tcons.max_allowable_td_ratio,input,,[1.4175],
tcons.rotor_orientation,input,n/a,upwind,
towerse.env.distLoads.waveLoads_Px,input,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_Py,input,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_Pz,input,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_qdyn,input,N/m**2,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_z,input,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.waveLoads_beta,input,deg,[0.],
towerse.yaw,input,deg,[0.],
towerse.z0,input,m,[0.],
towerse.shearExp,input,,[0.12],
towerse.beta_wind,input,deg,[0.],
towerse.rho_air,input,kg/m**3,[1.225],
towerse.mu_air,input,kg/m/s,[1.81e-05],
