variables,type,units,values,description
sse_tune.aeroperf_tables.usecd,input,n/a,True,use drag coefficient in computing induction factors
sse_tune.tune_rosco.gear_ratio,input,,[1.],Gearbox Ratio
sse_tune.rated_power,input,W,[15000000.],Rated power
sse_tune.tune_rosco.max_pitch_rate,input,rad/s,[0.03490659],Maximum allowed blade pitch rate
sse_tune.tune_rosco.max_torque_rate,input,N*m/s,[1500000.],Maximum allowed generator torque rate
sse_tune.tsr_operational,input,,[9.],Operational tip-speed ratio
sse_tune.omega_min,input,rad/s,[0.52359878],Minimum rotor speed
sse_tune.tune_rosco.gearbox_efficiency,input,,[1.],Gearbox efficiency
sse_tune.tune_rosco.max_pitch,input,rad,[1.57],
sse_tune.tune_rosco.min_pitch,input,rad,[0.],
sse_tune.tune_rosco.vs_minspd,input,rad/s,[0.52359877],
sse_tune.tune_rosco.ss_vsgain,input,,[1.],
sse_tune.tune_rosco.ss_pcgain,input,,[0.001],
sse_tune.tune_rosco.ps_percent,input,,[0.85],
sse_tune.tune_rosco.shearExp,input,,[0.],shear exponent
sse_tune.tune_rosco.delta_max_pos,input,rad,[],1D array of the max angle of the trailing edge flaps.
sse_tune.tune_rosco.zeta_pc,input,,[1.],Pitch controller damping ratio
sse_tune.tune_rosco.omega_pc,input,rad/s,[0.2],Pitch controller natural frequency
sse_tune.tune_rosco.stability_margin,input,,[0.],Maximum stability margin for robust scheduling
sse_tune.tune_rosco.omega_pc_max,input,,[0.],Maximum allowable omega margin for robust scheduling
sse_tune.tune_rosco.twr_freq,input,Hz,[0.],Tower natural frequency
sse_tune.tune_rosco.ptfm_freq,input,rad/s,[0.2],Platform natural frequency
sse_tune.tune_rosco.Kp_float,input,s,[-10.],Floating feedback gain
sse_tune.tune_rosco.zeta_vs,input,,[0.85],Generator torque controller damping ratio
sse_tune.tune_rosco.omega_vs,input,rad/s,[0.12],Generator torque controller natural frequency
sse_tune.tune_rosco.IPC_Kp1p,input,s,[0.],Individual pitch controller 1p proportional gain
sse_tune.tune_rosco.IPC_Ki1p,input,,[0.],Individual pitch controller 1p integral gain
sse_tune.tune_rosco.nSector,input,n/a,4,number of sectors to divide rotor face into in computing thrust and power
sse_tune.tune_rosco.tiploss,input,n/a,True,include Prandtl tip loss model
sse_tune.tune_rosco.hubloss,input,n/a,True,include Prandtl hub loss model
sse_tune.tune_rosco.wakerotation,input,n/a,True,"include effect of wake rotation (i.e., tangential induction factor is nonzero)"
sse_tune.tune_rosco.usecd,input,n/a,True,use drag coefficient in computing induction factors
financese.machine_rating,input,kW,[15000.],
financese.offset_tcc_per_kW,input,USD/kW,[0.],
financese.bos_per_kW,input,USD/kW,[4053.],
financese.opex_per_kW,input,USD/kW/year,[137.],
financese.plant_aep_in,input,kW*h,[0.],
financese.wake_loss_factor,input,,[0.15],
financese.fixed_charge_rate,input,,[0.056],
financese.electricity_price,input,USD/kW/h,[0.04],
financese.reserve_margin_price,input,USD/kW/year,[120.],
financese.capacity_credit,input,,[1.],
financese.benchmark_price,input,USD/kW/h,[0.071],
financese.turbine_number,input,n/a,40.0,
outputs_2_screen.My_std,input,N*m,[0.],
outputs_2_screen.flp1_std,input,deg,[0.],
outputs_2_screen.PC_omega,input,rad/s,[0.],
outputs_2_screen.PC_zeta,input,,[0.],
outputs_2_screen.VS_omega,input,rad/s,[0.],
outputs_2_screen.VS_zeta,input,,[0.],
outputs_2_screen.Flp_omega,input,rad/s,[0.],
outputs_2_screen.Flp_zeta,input,,[0.],
floatingse.Hsig_wave,input,m,[4.52],
floatingse.survival_heel,input,rad,[0.17453293],
floatingse.transition_node,input,m,[ 0.  0. 15.],
floatingse.transition_piece_mass,input,kg,[100000.],
floatingse.mooring_fairlead_joints,input,m,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",
floatingse.yaw,input,deg,[0.],
floatingse.rho_water,input,kg/m**3,[1025.],
floatingse.z0,input,m,[0.],
floatingse.water_depth,input,m,[-200.],
floatingse.Uc,input,m/s,[0.],mean current speed
floatingse.Tsig_wave,input,s,[9.45],
floatingse.beta_wave,input,deg,[0.],
floatingse.mu_water,input,kg/m/s,[0.0013351],
floatingse.shearExp,input,,[0.12],
floatingse.beta_wind,input,deg,[0.],
floatingse.rho_air,input,kg/m**3,[1.225],
